StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,EngagementScore,AcademicIndex,MotivationEngagementRatio,Cluster,PCA1,PCA2,PCA3,ClusterLabel
19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3,22.666666666666668,38.8,0.5,0,-3.142362247159962,-1.1308773882608096,0.34196987186424366,High Achievers
19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2,35.333333333333336,46.6,0.5,3,0.48762225439257867,-2.2836954275659043,-1.6918506475427868,Growth Potential
19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0,28.666666666666668,56.5,0.5,2,0.6063465147223889,0.44459950614857835,-1.8716024590610445,At-Risk Students
24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,22.666666666666668,52.8,0.3333333333333333,0,-1.2056419436916803,1.0480158446429095,1.0753752638704857,High Achievers
24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,24.0,63.9,1.0,2,0.6547135237261473,2.5327359899229656,1.4775145011792432,At-Risk Students
24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,22.333333333333332,67.5,1.0,2,0.889328819992837,3.3475900536923686,0.8777603539349981,At-Risk Students
24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3,22.666666666666668,52.8,0.6666666666666666,0,-1.2028704277392384,1.0274087981852726,0.6298280943753638,High Achievers
24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1,24.0,63.9,2.0,2,0.6574850396785894,2.512128943465329,1.0319673316841216,At-Risk Students
24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0,22.333333333333332,67.5,2.0,2,0.892100335945279,3.3269830072347317,0.43221318443987644,At-Risk Students
24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3,22.666666666666668,52.8,0.3333333333333333,0,-1.2056419436916803,1.0480158446429095,1.0753752638704857,High Achievers
24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1,24.0,63.9,1.0,2,0.6547135237261473,2.5327359899229656,1.4775145011792432,At-Risk Students
24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0,22.333333333333332,67.5,1.0,2,0.889328819992837,3.3475900536923686,0.8777603539349981,At-Risk Students
24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3,22.666666666666668,52.8,0.6666666666666666,0,-1.2028704277392384,1.0274087981852726,0.6298280943753638,High Achievers
24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1,24.0,63.9,2.0,2,0.6574850396785894,2.512128943465329,1.0319673316841216,At-Risk Students
24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0,22.333333333333332,67.5,2.0,2,0.892100335945279,3.3269830072347317,0.43221318443987644,At-Risk Students
24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3,22.666666666666668,52.8,0.0,0,-1.2084134596441223,1.0686228911005462,1.5209224333656073,High Achievers
24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1,24.0,63.9,0.0,2,0.6519420077737053,2.5533430363806024,1.9230616706743648,At-Risk Students
24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0,22.333333333333332,67.5,0.0,2,0.8865573040403949,3.3681971001500055,1.32330752343012,At-Risk Students
29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3,31.0,54.5,0.3333333333333333,1,0.6668452854802907,-0.2651468788140763,2.0629336306411816,Consistent Learners
29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3,21.333333333333332,50.9,0.3333333333333333,0,-1.699815561785242,0.9289848518341582,1.6639281170606213,High Achievers
29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2,32.333333333333336,56.89999999999999,0.3333333333333333,1,1.2591855378400387,-0.11783261839263513,0.6944852841915161,Consistent Learners
29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3,31.0,54.5,0.0,1,0.6640737695278487,-0.24453983235643956,2.5084808001363026,Consistent Learners
29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3,21.333333333333332,50.9,0.0,0,-1.702587077737684,0.9495918982917949,2.109475286555743,High Achievers
29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2,32.333333333333336,56.89999999999999,0.0,1,1.2564140218875968,-0.09722557193499844,1.140032453686638,Consistent Learners
19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,25.333333333333332,47.199999999999996,0.3333333333333333,0,-1.4489068070029107,-0.40820507778839876,0.9820906787241825,High Achievers
19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,29.666666666666668,63.39999999999999,0.3333333333333333,1,1.7112101288623855,1.2483728072660718,-1.1395573936187855,Consistent Learners
19,92,2,0,1,1,0,19,3,12,1,63,40,1,2,3,25.333333333333332,47.199999999999996,0.3333333333333333,0,-1.4489068070029107,-0.40820507778839876,0.9820906787241825,High Achievers
19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0,29.666666666666668,63.39999999999999,0.3333333333333333,1,1.7112101288623855,1.2483728072660718,-1.1395573936187855,Consistent Learners
19,92,2,1,1,1,0,19,3,12,1,63,40,1,2,3,25.333333333333332,47.199999999999996,0.3333333333333333,0,-1.4489068070029107,-0.40820507778839876,0.9820906787241825,High Achievers
19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0,29.666666666666668,63.39999999999999,0.3333333333333333,1,1.7112101288623855,1.2483728072660718,-1.1395573936187855,Consistent Learners
19,92,1,0,2,1,0,19,3,12,1,63,40,1,2,3,25.333333333333332,47.199999999999996,0.6666666666666666,0,-1.4461352910504686,-0.42881212424603543,0.5365435092290609,High Achievers
19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0,29.666666666666668,63.39999999999999,0.6666666666666666,1,1.7139816448148277,1.2277657608084351,-1.5851045631139071,Consistent Learners
29,84,0,1,0,1,1,21,2,10,1,57,48,1,2,3,22.666666666666668,51.199999999999996,0.0,0,-1.3800053439274875,0.7394878364603784,1.802696515892888,High Achievers
29,84,0,1,0,1,1,28,2,14,0,74,60,1,0,2,29.333333333333332,54.8,0.0,2,0.4999181993899489,0.2218227396412851,0.48496394603766324,At-Risk Students
29,84,1,1,1,1,1,21,2,10,1,57,48,1,2,3,22.666666666666668,51.199999999999996,0.3333333333333333,0,-1.3772338279750453,0.7188807900027417,1.3571493463977664,High Achievers
29,84,1,1,1,1,1,28,2,14,0,74,60,1,0,2,29.333333333333332,54.8,1.0,2,0.502689715342391,0.20121569318364838,0.03941677654254152,At-Risk Students
25,78,2,1,1,1,1,18,2,17,0,91,58,1,2,2,36.0,50.8,0.3333333333333333,3,1.1738668656052067,-1.773657729310265,-0.4139446692602002,Growth Potential
25,78,0,1,1,1,1,18,2,17,0,91,58,1,2,2,36.0,50.8,0.3333333333333333,3,1.1738668656052067,-1.773657729310265,-0.4139446692602002,Growth Potential
17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0,26.0,62.599999999999994,0.6666666666666666,2,0.8777645047656684,1.7148347481740858,-0.7360626649135198,At-Risk Students
17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0,26.0,62.599999999999994,0.0,2,0.8722214728607843,1.756048841089359,0.15503167407672358,At-Risk Students
17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0,26.0,62.599999999999994,0.3333333333333333,2,0.8749929888132263,1.7354417946317224,-0.2905154954183981,At-Risk Students
17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0,26.0,62.599999999999994,0.3333333333333333,2,0.8749929888132263,1.7354417946317224,-0.2905154954183981,At-Risk Students
17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0,26.0,62.599999999999994,0.6666666666666666,2,0.8777645047656684,1.7148347481740858,-0.7360626649135198,At-Risk Students
17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0,26.0,62.599999999999994,0.0,2,0.8722214728607843,1.756048841089359,0.15503167407672358,At-Risk Students
17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0,26.0,62.599999999999994,0.3333333333333333,2,0.8749929888132263,1.7354417946317224,-0.2905154954183981,At-Risk Students
23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2,23.333333333333332,56.0,0.3333333333333333,2,-0.570156298869448,1.3486731221986077,0.11511337904510878,At-Risk Students
23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0,35.0,66.5,0.3333333333333333,1,3.1306129328016143,0.7404906769264898,0.8236579884169756,Consistent Learners
23,98,0,0,1,1,1,27,2,5,0,65,58,0,2,2,23.333333333333332,56.0,0.3333333333333333,2,-0.570156298869448,1.3486731221986077,0.11511337904510878,At-Risk Students
23,98,0,0,1,1,1,27,1,4,1,100,93,0,2,0,35.0,66.5,0.3333333333333333,1,3.1306129328016143,0.7404906769264898,0.8236579884169756,Consistent Learners
23,98,2,0,1,1,1,27,2,5,0,65,58,0,2,2,23.333333333333332,56.0,0.3333333333333333,2,-0.570156298869448,1.3486731221986077,0.11511337904510878,At-Risk Students
23,98,2,0,1,1,1,27,1,4,1,100,93,0,2,0,35.0,66.5,0.3333333333333333,1,3.1306129328016143,0.7404906769264898,0.8236579884169756,Consistent Learners
23,98,2,1,0,1,1,27,2,5,0,65,58,0,2,2,23.333333333333332,56.0,0.0,2,-0.57292781482189,1.3692801686562444,0.5606605485402305,At-Risk Students
23,98,2,1,0,1,1,27,1,4,1,100,93,0,2,0,35.0,66.5,0.0,1,3.127841416849172,0.7610977233841266,1.2692051579120973,Consistent Learners
17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1,27.333333333333332,52.7,0.3333333333333333,0,-0.29405354047178206,0.04698831993038022,0.3060323479065932,High Achievers
17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2,25.333333333333332,51.5,1.0,0,-0.7755732511867527,0.3238831723381176,-0.13470027849315847,High Achievers
17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0,25.333333333333332,56.9,0.5,2,-0.08736443373341418,1.1211590310998891,0.3254620166905094,At-Risk Students
17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0,25.333333333333332,57.2,1.0,2,0.01991479857284458,1.272884844728412,-0.8126766762902562,At-Risk Students
17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1,24.666666666666668,54.2,1.0,2,-0.5834035222150101,0.887754804136077,0.2663426236927739,At-Risk Students
17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1,27.333333333333332,52.7,0.3333333333333333,0,-0.29405354047178206,0.04698831993038022,0.3060323479065932,High Achievers
17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2,25.333333333333332,51.5,1.0,0,-0.7755732511867527,0.3238831723381176,-0.13470027849315847,High Achievers
17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0,25.333333333333332,56.9,0.5,2,-0.08736443373341418,1.1211590310998891,0.3254620166905094,At-Risk Students
17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0,25.333333333333332,57.2,1.0,2,0.01991479857284458,1.272884844728412,-0.8126766762902562,At-Risk Students
17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1,24.666666666666668,54.2,1.0,2,-0.5834035222150101,0.887754804136077,0.2663426236927739,At-Risk Students
17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1,27.333333333333332,52.7,0.3333333333333333,0,-0.29405354047178206,0.04698831993038022,0.3060323479065932,High Achievers
17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2,25.333333333333332,51.5,1.0,0,-0.7755732511867527,0.3238831723381176,-0.13470027849315847,High Achievers
17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0,25.333333333333332,56.9,0.5,2,-0.08736443373341418,1.1211590310998891,0.3254620166905094,At-Risk Students
17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0,25.333333333333332,57.2,1.0,2,0.01991479857284458,1.272884844728412,-0.8126766762902562,At-Risk Students
17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1,24.666666666666668,54.2,1.0,2,-0.5834035222150101,0.887754804136077,0.2663426236927739,At-Risk Students
17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,0.0,2,0.4859825120541115,2.1324109093600203,-0.11498962206242953,At-Risk Students
17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,0.0,1,1.438042340176371,0.7499084258547153,0.8973530519854503,Consistent Learners
17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,0.5,2,0.4887540280065535,2.111803862902384,-0.5605367915575512,At-Risk Students
17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,0.5,1,1.440813856128813,0.7293013793970786,0.45180588249032844,Consistent Learners
17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,1.0,2,0.49152554395899556,2.091196816444747,-1.0060839610526728,At-Risk Students
17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,1.0,1,1.443585372081255,0.708694332939442,0.006258712995206869,Consistent Learners
17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,0.5,2,0.4887540280065535,2.111803862902384,-0.5605367915575512,At-Risk Students
17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,0.5,1,1.440813856128813,0.7293013793970786,0.45180588249032844,Consistent Learners
17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,0.5,2,0.4887540280065535,2.111803862902384,-0.5605367915575512,At-Risk Students
17,97,2,0,1,1,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,0.5,1,1.440813856128813,0.7293013793970786,0.45180588249032844,Consistent Learners
17,97,0,1,1,1,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,0.5,2,0.4887540280065535,2.111803862902384,-0.5605367915575512,At-Risk Students
17,97,0,1,1,1,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,0.5,1,1.440813856128813,0.7293013793970786,0.45180588249032844,Consistent Learners
17,97,1,1,1,1,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,0.5,2,0.4887540280065535,2.111803862902384,-0.5605367915575512,At-Risk Students
17,97,1,1,1,1,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,0.5,1,1.440813856128813,0.7293013793970786,0.45180588249032844,Consistent Learners
17,97,0,0,2,0,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,1.0,2,0.49152554395899556,2.091196816444747,-1.0060839610526728,At-Risk Students
17,97,0,0,2,0,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,1.0,1,1.443585372081255,0.708694332939442,0.006258712995206869,Consistent Learners
17,97,1,1,0,1,1,27,1,9,0,64,87,1,1,0,24.333333333333332,62.0,0.0,2,0.4859825120541115,2.1324109093600203,-0.11498962206242953,At-Risk Students
17,97,1,1,0,1,1,25,2,20,1,70,82,1,1,1,30.333333333333332,60.5,0.0,1,1.438042340176371,0.7499084258547153,0.8973530519854503,Consistent Learners
21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0,22.333333333333332,59.099999999999994,0.0,2,-0.28751975826606185,2.034382183025823,-0.6970633542962965,At-Risk Students
21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0,28.333333333333332,62.099999999999994,0.0,2,1.2395937721174823,1.3825670750220513,0.896656613689311,At-Risk Students
21,83,1,1,2,1,1,27,2,1,0,66,86,0,1,0,22.333333333333332,59.099999999999994,1.0,2,-0.28197672636117793,1.9931680901105497,-1.5881576932865398,At-Risk Students
21,83,1,1,2,1,1,27,0,7,1,77,96,1,1,0,28.333333333333332,62.099999999999994,1.0,2,1.2451368040223665,1.341352982106778,0.005562274699067592,At-Risk Students
21,83,0,0,0,1,1,27,2,1,0,66,86,0,1,0,22.333333333333332,59.099999999999994,0.0,2,-0.28751975826606185,2.034382183025823,-0.6970633542962965,At-Risk Students
21,83,0,0,0,1,1,27,0,7,1,77,96,1,1,0,28.333333333333332,62.099999999999994,0.0,2,1.2395937721174823,1.3825670750220513,0.896656613689311,At-Risk Students
21,83,0,1,0,1,1,27,2,1,0,66,86,0,1,0,22.333333333333332,59.099999999999994,0.0,2,-0.28751975826606185,2.034382183025823,-0.6970633542962965,At-Risk Students
21,83,0,1,0,1,1,27,0,7,1,77,96,1,1,0,28.333333333333332,62.099999999999994,0.0,2,1.2395937721174823,1.3825670750220513,0.896656613689311,At-Risk Students
21,83,2,1,2,1,1,27,2,1,0,66,86,0,1,0,22.333333333333332,59.099999999999994,1.0,2,-0.28197672636117793,1.9931680901105497,-1.5881576932865398,At-Risk Students
21,83,2,1,2,1,1,27,0,7,1,77,96,1,1,0,28.333333333333332,62.099999999999994,1.0,2,1.2451368040223665,1.341352982106778,0.005562274699067592,At-Risk Students
21,83,2,0,1,1,1,27,2,1,0,66,86,0,1,0,22.333333333333332,59.099999999999994,0.5,2,-0.2847482423136199,2.0137751365681864,-1.1426105237914181,At-Risk Students
21,83,2,0,1,1,1,27,0,7,1,77,96,1,1,0,28.333333333333332,62.099999999999994,0.5,2,1.2423652880699245,1.3619600285644147,0.4511094441941892,At-Risk Students
9,82,1,1,1,1,1,18,3,17,0,55,40,1,2,3,24.0,40.2,0.3333333333333333,0,-2.6748307150349895,-1.220103507054967,-1.089993977607248,High Achievers
9,82,1,1,1,1,1,25,3,13,0,73,46,1,2,3,28.666666666666668,42.0,0.3333333333333333,3,-1.5299916688729271,-1.810869372677828,-1.2145333505730653,Growth Potential
10,78,2,1,1,1,1,27,2,5,0,71,68,1,2,2,25.333333333333332,47.8,0.3333333333333333,0,-1.3643718092185169,-0.32722951443633375,-1.529832686187898,High Achievers
10,78,2,1,1,1,1,20,3,17,0,85,78,1,2,1,34.0,50.8,0.3333333333333333,3,0.783613705690256,-1.4943795744195525,-2.0294127570719813,Growth Potential
17,68,1,0,1,1,0,19,3,0,1,75,42,1,1,3,25.333333333333332,39.8,0.5,0,-2.496313113650127,-1.4961237033531343,0.017637832633770004,High Achievers
17,68,1,0,1,1,0,24,2,4,1,87,64,1,2,2,30.666666666666668,46.4,0.3333333333333333,3,-0.5492462530654022,-1.5435558225539354,-0.21221134699544883,Growth Potential
17,68,1,0,1,1,0,20,3,19,1,88,49,1,1,3,36.0,41.9,0.5,3,-0.09743575021143727,-3.1390386356672257,-0.08207604347529408,Growth Potential
17,68,1,1,1,1,0,19,3,0,1,75,42,1,1,3,25.333333333333332,39.8,0.5,0,-2.496313113650127,-1.4961237033531343,0.017637832633770004,High Achievers
17,68,1,1,1,1,0,24,2,4,1,87,64,1,2,2,30.666666666666668,46.4,0.3333333333333333,3,-0.5492462530654022,-1.5435558225539354,-0.21221134699544883,Growth Potential
17,68,1,1,1,1,0,20,3,19,1,88,49,1,1,3,36.0,41.9,0.5,3,-0.09743575021143727,-3.1390386356672257,-0.08207604347529408,Growth Potential
17,68,1,0,2,1,0,19,3,0,1,75,42,1,1,3,25.333333333333332,39.8,1.0,0,-2.4935415976976847,-1.516730749810771,-0.42790933686135174,High Achievers
17,68,1,0,2,1,0,24,2,4,1,87,64,1,2,2,30.666666666666668,46.4,0.6666666666666666,3,-0.5464747371129601,-1.564162869011572,-0.6577585164905706,Growth Potential
17,68,1,0,2,1,0,20,3,19,1,88,49,1,1,3,36.0,41.9,1.0,3,-0.09466423425899509,-3.1596456821248626,-0.5276232129704161,Growth Potential
17,68,2,1,1,1,0,19,3,0,1,75,42,1,1,3,25.333333333333332,39.8,0.5,0,-2.496313113650127,-1.4961237033531343,0.017637832633770004,High Achievers
17,68,2,1,1,1,0,24,2,4,1,87,64,1,2,2,30.666666666666668,46.4,0.3333333333333333,3,-0.5492462530654022,-1.5435558225539354,-0.21221134699544883,Growth Potential
17,68,2,1,1,1,0,20,3,19,1,88,49,1,1,3,36.0,41.9,0.5,3,-0.09743575021143727,-3.1390386356672257,-0.08207604347529408,Growth Potential
17,68,0,1,2,1,0,19,3,0,1,75,42,1,1,3,25.333333333333332,39.8,1.0,0,-2.4935415976976847,-1.516730749810771,-0.42790933686135174,High Achievers
17,68,0,1,2,1,0,24,2,4,1,87,64,1,2,2,30.666666666666668,46.4,0.6666666666666666,3,-0.5464747371129601,-1.564162869011572,-0.6577585164905706,Growth Potential
17,68,0,1,2,1,0,20,3,19,1,88,49,1,1,3,36.0,41.9,1.0,3,-0.09466423425899509,-3.1596456821248626,-0.5276232129704161,Growth Potential
22,70,1,1,1,1,0,22,3,1,1,74,40,1,2,3,25.333333333333332,41.8,0.3333333333333333,0,-2.2181200769533755,-1.2413148543707386,0.35871189343257825,High Achievers
22,70,1,0,0,1,0,22,3,1,1,74,40,1,2,3,25.333333333333332,41.8,0.0,0,-2.2208915929058177,-1.2207078079131017,0.8042590629276999,High Achievers
22,70,2,1,2,1,0,22,3,1,1,74,40,1,2,3,25.333333333333332,41.8,0.6666666666666666,0,-2.215348561000934,-1.2619219008283753,-0.08683527606254332,High Achievers
22,70,1,1,0,1,0,22,3,1,1,74,40,1,2,3,25.333333333333332,41.8,0.0,0,-2.2208915929058177,-1.2207078079131017,0.8042590629276999,High Achievers
22,70,2,1,1,1,0,22,3,1,1,74,40,1,2,3,25.333333333333332,41.8,0.3333333333333333,0,-2.2181200769533755,-1.2413148543707386,0.35871189343257825,High Achievers
15,80,1,1,0,1,0,23,2,2,0,50,56,0,1,2,17.333333333333332,46.8,0.0,0,-3.0283030415870984,1.104484065929872,-0.4440636022088058,High Achievers
15,80,1,1,0,1,0,21,2,7,1,87,89,1,0,0,31.666666666666668,56.7,0.0,1,1.1531841364771074,-0.03641039433747589,0.06712081377308654,Consistent Learners
15,80,1,1,0,1,0,23,1,13,1,56,75,1,2,1,23.333333333333332,52.5,0.0,0,-1.0965809393400336,0.7628497762996898,0.576973080560439,High Achievers
15,80,2,0,1,1,0,23,2,2,0,50,56,0,1,2,17.333333333333332,46.8,0.5,0,-3.025531525634656,1.0838770194722354,-0.8896107717039271,High Achievers
15,80,2,0,1,1,0,21,2,7,1,87,89,1,0,0,31.666666666666668,56.7,1.0,1,1.1559556524295496,-0.05701744079511256,-0.37842635572203515,Consistent Learners
15,80,2,0,1,1,0,23,1,13,1,56,75,1,2,1,23.333333333333332,52.5,0.3333333333333333,0,-1.0938094233875917,0.742242729842053,0.13142591106531717,High Achievers
15,80,0,0,2,1,0,23,2,2,0,50,56,0,1,2,17.333333333333332,46.8,1.0,0,-3.0227600096822145,1.0632699730145987,-1.3351579411990488,High Achievers
15,80,0,0,2,1,0,21,2,7,1,87,89,1,0,0,31.666666666666668,56.7,2.0,1,1.1587271683819915,-0.07762448725274934,-0.8239735252171568,Consistent Learners
15,80,0,0,2,1,0,23,1,13,1,56,75,1,2,1,23.333333333333332,52.5,0.6666666666666666,0,-1.0910379074351497,0.7216356833844163,-0.31412125842980454,High Achievers
15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2,17.333333333333332,46.8,0.5,0,-3.025531525634656,1.0838770194722354,-0.8896107717039271,High Achievers
15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0,31.666666666666668,56.7,1.0,1,1.1559556524295496,-0.05701744079511256,-0.37842635572203515,Consistent Learners
15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1,23.333333333333332,52.5,0.3333333333333333,0,-1.0938094233875917,0.742242729842053,0.13142591106531717,High Achievers
15,80,1,1,1,1,0,23,2,2,0,50,56,0,1,2,17.333333333333332,46.8,0.5,0,-3.025531525634656,1.0838770194722354,-0.8896107717039271,High Achievers
15,80,1,1,1,1,0,21,2,7,1,87,89,1,0,0,31.666666666666668,56.7,1.0,1,1.1559556524295496,-0.05701744079511256,-0.37842635572203515,Consistent Learners
15,80,1,1,1,1,0,23,1,13,1,56,75,1,2,1,23.333333333333332,52.5,0.3333333333333333,0,-1.0938094233875917,0.742242729842053,0.13142591106531717,High Achievers
12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1,27.666666666666668,48.6,0.3333333333333333,0,-0.837143307204488,-0.6283376970765504,0.2208994510108272,High Achievers
12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3,25.333333333333332,41.7,0.5,0,-2.2105395333480535,-1.1964903288275879,0.18185224956183346,High Achievers
29,78,1,0,2,1,0,28,0,2,1,67,91,1,2,0,23.333333333333332,62.3,0.6666666666666666,2,0.3050159870542977,2.244208517419618,0.30627273574085034,At-Risk Students
29,78,2,1,1,1,0,28,0,2,1,67,91,1,2,0,23.333333333333332,62.3,0.3333333333333333,2,0.30224447110185576,2.2648155638772547,0.751819905235972,At-Risk Students
19,99,2,0,1,1,1,25,3,13,1,91,56,1,0,2,35.0,54.099999999999994,1.0,1,1.4333133917426344,-1.0147674624585077,0.9982846232486031,Consistent Learners
19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2,35.0,54.099999999999994,1.0,1,1.4333133917426344,-1.0147674624585077,0.9982846232486031,Consistent Learners
19,99,2,0,0,1,1,25,3,13,1,91,56,1,0,2,35.0,54.099999999999994,0.0,1,1.4305418757901924,-0.9941604160008711,1.4438317927437248,Consistent Learners
19,99,2,1,0,1,1,25,3,13,1,91,56,1,0,2,35.0,54.099999999999994,0.0,1,1.4305418757901924,-0.9941604160008711,1.4438317927437248,Consistent Learners
19,99,0,0,1,1,1,25,3,13,1,91,56,1,0,2,35.0,54.099999999999994,1.0,1,1.4333133917426344,-1.0147674624585077,0.9982846232486031,Consistent Learners
